Time Stamp;available_memory_MB;app_pss_MB;battery_level_percentage;battery_temperature_celcius;battery_current_now_milliamps;sensor_temperature_celcius;power_current;power_level_state;power_voltage;power_wattage;cpu_level;gpu_level;cpu_frequency_MHz;gpu_frequency_MHz;mem_frequency_MHz;minimum_vsyncs;extra_latency_mode;phase_sync_mode;average_frame_rate;display_refresh_rate;average_prediction_milliseconds;screen_tear_count;early_frame_count;stale_frame_count;maximum_rotational_speed_degrees_per_second;foveation_level;eye_buffer_width;eye_buffer_height;app_gpu_time_microseconds;timewarp_gpu_time_microseconds;guardian_gpu_time_microseconds;cpu_utilization_percentage;cpu_utilization_percentage_core0;cpu_utilization_percentage_core1;cpu_utilization_percentage_core2;cpu_utilization_percentage_core3;cpu_utilization_percentage_core4;cpu_utilization_percentage_core5;cpu_utilization_percentage_core6;cpu_utilization_percentage_core7;gpu_utilization_percentage;spacewarp_motion_vector_type;spacewarped_frames_per_second;app_vss_MB;app_rss_MB;app_dalvik_pss_MB;app_private_dirty_MB;app_private_clean_MB;app_uss_MB;stale_frames_consecutive;max_repeated_frames;avg_vertices_per_frame;avg_fill_percentage;avg_inst_per_frag;avg_inst_per_vert;avg_frag_inst_per_pixel;avg_vert_inst_per_pixel;avg_textures_per_frag;percent_time_shading_frags;percent_time_shading_verts;percent_time_compute;percent_vertex_fetch_stall;percent_texture_fetch_stall;percent_texture_l1_miss;percent_texture_l2_miss;percent_texture_nearest_filtered;percent_texture_linear_filtered;percent_texture_anisotropic_filtered;vrshell_average_frame_rate;vrshell_gpu_time_microseconds;vrshell_and_guardian_gpu_time_microseconds;render_scale;dynres_recommendation_percentage;dynres_recommendation_width;dynres_recommendation_height
24003;1500;1810;37;41;9999;0;1128;0;3656;4123;5;4;1478;525;2000;1;0;1;18;72;79;0;0;57;0;0;2304;2536;45890;1591;0;16;47;49;46;47;7;16;14;21;94;0;0;15114;1896;0;1743;50;1793;11;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
25004;1500;1810;37;41;9999;0;1145;0;3656;4186;5;4;1478;525;2000;1;0;1;18;72;78;0;0;61;0;0;2304;2536;29194;1574;0;17;50;55;57;64;10;12;17;20;87;0;0;15114;1896;0;1743;50;1793;11;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
26003;1500;1810;37;41;9999;0;1162;0;3656;4248;5;4;1478;525;2000;1;0;1;24;72;61;0;3;54;0;0;2304;2536;30778;1573;0;14;51;51;56;54;9;14;11;21;86;0;0;15114;1896;0;1743;50;1793;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
27003;1500;1810;37;41;9999;0;1141;0;3656;4171;5;4;1478;525;2000;1;0;1;24;72;58;0;0;53;0;0;2304;2536;30330;1586;0;13;47;47;42;49;13;10;13;22;86;0;0;15114;1896;0;1743;50;1793;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
28003;1500;1810;37;41;9999;0;1144;0;3656;4182;5;4;1478;525;2000;1;0;1;24;72;59;0;0;58;0;0;2304;2536;30725;1570;0;15;52;52;60;59;15;7;15;22;86;0;0;15114;1896;0;1743;50;1793;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
29003;1500;1810;37;41;9999;0;1131;0;3678;4159;5;4;1478;525;2000;1;0;1;24;72;58;0;0;52;0;0;2304;2536;30782;1577;0;14;43;43;42;47;11;8;14;20;86;0;0;15114;1896;0;1743;50;1793;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
30003;1500;1810;37;40;9999;0;1112;0;3678;4089;5;4;1478;525;2000;1;0;1;24;72;58;0;0;52;0;0;2304;2536;46989;1544;0;17;59;58;59;68;17;13;15;22;88;0;0;15114;1896;0;1743;50;1793;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
31003;1500;1810;37;40;9999;0;1121;0;3678;4123;5;4;1478;525;2000;1;0;1;18;72;83;0;2;60;0;0;2304;2536;44056;1571;0;15;70;75;75;76;15;12;13;23;90;0;0;15114;1896;0;1743;50;1793;27;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
32003;1500;1810;37;40;9999;0;1133;0;3679;4168;5;4;1478;525;2000;1;0;1;18;72;75;0;0;57;0;0;2304;2536;44448;1602;0;14;32;35;36;41;14;9;11;17;91;0;0;15114;1896;0;1743;50;1793;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
33003;1500;1810;37;40;9999;0;1154;0;3679;4245;5;4;1478;525;2000;1;0;1;18;72;75;0;0;58;0;0;2304;2536;44084;1576;0;15;51;56;57;63;14;9;15;20;91;0;0;15114;1896;0;1743;50;1793;11;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
34003;1500;1810;37;40;9999;0;1124;0;3679;4135;5;4;1478;525;2000;1;0;1;18;72;75;0;0;57;0;0;2304;2536;44244;1579;0;13;48;51;55;52;13;6;13;20;91;0;0;15114;1896;0;1743;50;1793;11;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
35003;1500;1810;37;40;9999;0;1124;0;3679;4135;5;4;1478;525;2000;1;0;1;18;72;75;0;0;56;0;0;2304;2536;44402;1580;0;11;39;34;40;38;11;10;10;19;92;0;0;15114;1896;0;1743;50;1793;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
36003;1500;1810;37;40;9999;0;1317;0;3679;4845;5;4;1478;525;2000;1;0;1;18;72;76;0;0;56;0;0;2304;2536;44402;1580;0;11;39;34;40;38;11;10;10;19;92;0;0;15114;1896;0;1743;50;1793;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
37003;1500;1810;37;40;9999;0;1161;0;3677;4268;5;3;1478;525;2000;1;0;1;18;72;75;0;0;56;0;0;2304;2536;44402;1563;0;50;67;67;73;77;50;28;50;22;25;0;0;15114;1896;0;1743;50;1793;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
38004;1500;1810;37;40;9999;0;1053;0;3677;3871;5;4;1478;525;2000;1;0;1;12;72;76;0;0;72;0;0;2304;2536;65535;1730;0;50;61;58;63;72;39;48;50;31;65;0;0;15114;1896;0;1743;50;1793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
39038;816;2690;37;40;9999;0;1119;0;3677;4114;5;4;1478;525;2000;1;0;1;11;72;96;0;0;72;0;0;2304;2536;65535;1696;0;27;50;51;54;60;22;27;23;17;88;0;0;15820;2769;0;2620;54;2674;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
40003;816;2690;37;40;9999;0;1052;0;3677;3868;5;4;1478;525;2000;1;0;1;10;72;101;0;0;72;0;0;2304;2536;20934;1633;0;28;47;51;56;56;28;23;28;23;96;0;0;15820;2769;0;2620;54;2674;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
41004;816;2690;37;40;9999;0;1067;0;3677;3923;5;4;1478;525;2000;1;0;1;10;72;101;0;0;72;0;0;2304;2536;65535;1494;0;33;44;44;52;46;33;18;25;14;98;0;0;15820;2769;0;2620;54;2674;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
42004;816;2690;37;40;9999;0;1123;0;3685;4138;5;4;1478;525;2000;1;0;1;10;72;100;0;0;72;0;0;2304;2536;65535;1634;0;34;46;48;56;60;17;19;34;17;99;0;0;15820;2769;0;2620;54;2674;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
43004;816;2690;37;40;9999;0;1079;0;3685;3976;5;4;1478;525;2000;1;0;1;10;72;92;0;0;72;0;0;2304;2536;18874;1704;0;29;50;48;54;52;29;22;26;15;99;0;0;15820;2769;0;2620;54;2674;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
44004;816;2690;37;40;9999;0;1097;0;3685;4042;5;4;1478;525;2000;1;0;1;11;72;100;0;0;72;0;0;2304;2536;65535;1676;0;38;44;44;47;50;38;19;18;16;99;0;0;15820;2769;0;2620;54;2674;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
45004;816;2690;37;40;9999;0;1023;0;3685;3769;5;4;1478;525;2000;1;0;1;10;72;100;0;0;72;0;0;2304;2536;65535;1655;0;34;52;51;59;59;34;19;24;17;99;0;0;15820;2769;0;2620;54;2674;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
